report,category,severity
"A passenger vessel crew member was pressure washing inside a cargo hold and standing on top of a scaffold, when they fell. They initially felt ok however their knee began to swell and they were diagnosed with a dislocated knee and told they needed to take 2 weeks off work. The crew member was not sure how they fell, but that it was possible they had lost awareness as to where they were standing on the tower. ",Accident to person(s),Low
Collision between cargo ship and pleasure craft resulting in unknown damage. ,Collision,Low
"A cable laying ship had a non-SOLAS conforming pilot ladder. The ladder was secured to the deck by means of shackles around the side ropes, so that the weight was born by plastic chocks and wooden step.",Damage / Loss Of Equipment,Critical
Pilot boat crewmember was stepping onto the vessel when he rolled his ankle resulting in a possible hairline fracture. ,Accident to person(s),Low
"A general cargo vessel surged forward whilst inside a lock and allided with the gate. As the lock was filling, the force of the water coming into the dock caused the vessel to shift forward, the spring line was not able to maintain the vessels position in the lock and it came to rest upon the lock gate, causing an indentation on the gate. The deck plate support beam for the deck of the lock gate was dented about 30-50cm. The vessel had minor scratches. ",Contact,Critical
Ladder secured by shackles.,Damage / Loss Of Equipment,Critical
Cruise ships passenger tripped and twisted their foot which resulted in a fall. The casualty was taken for further medical advice as they sustained a displaced fracture of the femur and medically disembarked. No defects found in the area.,Accident to person(s),Low
Cruise ship passenger's left ankle slipped and consequently they fell down through the doorway. They sustained two fractured ankles and have been disembarked at the following port. ,Accident to person(s),Low
A motor cruiser experienced water ingress and the vessel was assisted back to port by a search and rescue vessel where the vessel was then lifted out of the water to prevent any further water ingress.,Flooding / Foundering,Medium
"During pilot disembarkation from chemical tanker,  pilot ladder stantion (post) came loose from the deck and bent while pilot was climbing onto top of ladder. Thereafter, pilot disembarked using ladder without further incident. There were no injuries as a result of this accident.",Damage / Loss Of Equipment,Critical
The passenger was returning to their cabin when tripped and fell forwards hitting their right shoulder on the floor and dislocating it. The area was later inspected but no defects were found.,Accident to person(s),Low
A bulk carrier reportedly touched bottom on an 'uncharted reef' and sustained damage to starboard side forward ballast tanks resulting in water ingress and a starboard list. The vessel went to anchor near by to arrange diver survey and subsequent temporary repairs before proceeding to dry dock for more permanent repairs. There were no injuries or pollution reported. ,Grounding / Stranding,Medium
